========================================================================================================================
📊 JORNADA 1 - RESULTADOS COMPLETOS
========================================================================================================================

Total jugadores procesados: 151

🏆 CLASIFICACIÓN COMPLETA:

#    | JUGADOR                        | EQUIPO               | POS        | MIN | GOL | AST | NOTA  | PTS
------------------------------------------------------------------------------------------------------------------------
104  | Óscar Cortés                   | Rangers              | Delantero  | 7   | 0   | 0   | 6.6   | 3
105  | Connor Barron                  | Rangers              | Delantero  | 17  | 0   | 0   | 6.7   | 3
106  | Cyriel Dessers                 | Rangers              | Delantero  | 27  | 0   | 0   | 6.3   | 3
107  | Mohamed Diomandé               | Rangers              | Delantero  | 63  | 0   | 0   | 6.3   | 3
108  | Nedim Bajrami                  | Rangers              | Delantero  | 17  | 0   | 0   | 6.3   | 3
109  | Stephen O'Donnell              | Rangers              | Delantero  | 19  | 0   | 0   | 6.5   | 3
110  | Tom Sparrow                    | Rangers              | Delantero  | 1   | 0   | 0   | 6.3   | 3
111  | Apostolos Stamatelopoulos      | Rangers              | Delantero  | 79  | 0   | 0   | 6.1   | 3
112  | Yevgeniy Kucherenko            | Dundee United        | Delantero  | 90  | 0   | 0   | 6.7   | 3
113  | Zachary Sapsford               | Dundee United        | Delantero  | 90  | 0   | 0   | 6.9   | 3
114  | Kai Fotheringham               | Dundee United        | Delantero  | 1   | 0   | 0   | 6.5   | 3
115  | Miller Thomson                 | Dundee United        | Delantero  | 7   | 0   | 0   | 6.5   | 3
116  | Owen Stirton                   | Dundee United        | Delantero  | 25  | 0   | 0   | 6.3   | 3
117  | Isaac Pappoe                   | Dundee United        | Delantero  | 83  | 0   | 0   | 6.6   | 3
118  | Ross MacIver                   | Dundee United        | Delantero  | 32  | 0   | 0   | 6.1   | 3
119  | Alfie Agyeman                  | Dundee United        | Delantero  | 15  | 0   | 0   | 6.3   | 3
120  | Henry Cartwright               | Dundee United        | Delantero  | 11  | 0   | 0   | 6.4   | 3
121  | Scott Arfield                  | Dundee United        | Delantero  | 58  | 0   | 0   | 6.4   | 3
