sportmonks_id,name,position,position_id,team,age,nationality
581071,Beni Baningime,DEF,26,Hearts,28,
174388,Craig Halkett,DEF,25,Hearts,31,
455795,Christian Borchgrevink,DEF,25,Hearts,27,
337116,Elton Kabangu,DEF,27,Hearts,28,
27440420,Oisin McEntee,DEF,25,Hearts,25,
35259800,Alexandros Kyziridis,DEF,27,Hearts,26,
37289500,Cláudio Braga,DEF,27,Hearts,27,
37298119,Ethan Ingram,DEF,25,Dundee,23,
12227,Brad Halliday,DEF,25,Dundee,31,
540482,Ethan Hamilton,DEF,26,Dundee,28,
37373575,Joel Cotterill,DEF,26,Dundee,22,
12412,Kieran O'Hara,GK,24,Dundee,30,
173089,Simon Murray,DEF,27,Dundee,34,
537388,Yan Dhanda,DEF,26,Dundee,28,
37580983,Luke Graham,DEF,25,Dundee,22,
37718674,Ashley Hay,DEF,27,Dundee,23,
9939395,Ryan Astley,DEF,25,Dundee,25,
6360,Alex Jakubiak,DEF,27,Dundee,30,
23697428,Marcel Lewis,DEF,26,Dundee,25,
37402212,Callum Jones,DEF,26,Dundee,25,
37589619,Joe Westley,DEF,27,Dundee,22,
9306,Clark Robertson,DEF,25,Dundee,33,
37668294,Joe Bevan,DEF,27,Dundee,22,
37346912,Cameron Congreve,DEF,26,Dundee,22,
37259161,Billy Koumetio,DEF,25,Dundee,24,
23697671,Charlie Reilly,DEF,26,Dundee,25,
37344235,Aaron Donnelly,DEF,25,Dundee,23,
21427972,Jon McCracken,GK,24,Dundee,26,
35683624,Finlay Robertson,DEF,26,Dundee,24,
8470,Drey Wright,DEF,26,Dundee,31,
2709,Paul Digby,DEF,26,Dundee,31,
37614769,Tony Yogane,DEF,27,Dundee,21,
28912837,Imari Samuels,DEF,25,Dundee,23,
758,James Tavernier,DEF,25,Rangers,35,
37560802,Nasser Djiga,DEF,25,Rangers,24,
37337029,Djeidi Gassama,DEF,27,Rangers,23,
4613,Joe Rothwell,DEF,26,Rangers,31,
37337109,Tuur Rommens,DEF,25,Rangers,23,
37657032,Findlay Curtis,DEF,27,Rangers,20,
32795608,Tochi Chukwuani,DEF,26,Rangers,23,
1685328,Andreas Skov Olsen,DEF,27,Rangers,27,
4536496,Bojan Miovski,DEF,27,Rangers,27,
