id,name,position,team,age,nationality
30446926,Pierre Landry Kabore,DEF,Hearts,25,
174304,Alan Forrest,DEF,Hearts,30,
4492,Ryan Fulton,GK,Hearts,30,
37696485,James Wilson,DEF,Hearts,19,
172938,Lawrence Shankland,DEF,Hearts,31,
172957,Blair Spittal,DEF,Hearts,31,
37359717,Calem Nieuwenhof,DEF,Hearts,25,
581071,Beni Baningime,DEF,Hearts,28,
174388,Craig Halkett,DEF,Hearts,31,
455795,Christian Borchgrevink,DEF,Hearts,27,
337116,Elton Kabangu,DEF,Hearts,28,
27440420,Oisin McEntee,DEF,Hearts,25,
35259800,Alexandros Kyziridis,DEF,Hearts,26,
37289500,Cláudio Braga,DEF,Hearts,27,
37298119,Ethan Ingram,DEF,Dundee,23,
12227,Brad Halliday,DEF,Dundee,31,
540482,Ethan Hamilton,DEF,Dundee,28,
37373575,Joel Cotterill,DEF,Dundee,22,
12412,Kieran O'Hara,GK,Dundee,30,
173089,Simon Murray,DEF,Dundee,34,
537388,Yan Dhanda,DEF,Dundee,28,
37580983,Luke Graham,DEF,Dundee,22,
37718674,Ashley Hay,DEF,Dundee,23,
9939395,Ryan Astley,DEF,Dundee,25,
37402212,Callum Jones,DEF,Dundee,25,
37589619,Joe Westley,DEF,Dundee,22,
9306,Clark Robertson,DEF,Dundee,33,
37668294,Joe Bevan,DEF,Dundee,22,
37346912,Cameron Congreve,DEF,Dundee,22,
37259161,Billy Koumetio,DEF,Dundee,24,
23697671,Charlie Reilly,DEF,Dundee,25,
37344235,Aaron Donnelly,DEF,Dundee,23,
21427972,Jon McCracken,GK,Dundee,26,
35683624,Finlay Robertson,DEF,Dundee,24,
8470,Drey Wright,DEF,Dundee,31,
2709,Paul Digby,DEF,Dundee,31,
37614769,Tony Yogane,DEF,Dundee,21,
28912837,Imari Samuels,DEF,Dundee,23,
758,James Tavernier,DEF,Rangers,35,
37560802,Nasser Djiga,DEF,Rangers,24,
37337029,Djeidi Gassama,DEF,Rangers,23,
4613,Joe Rothwell,DEF,Rangers,31,
37337109,Tuur Rommens,DEF,Rangers,23,
37657032,Findlay Curtis,DEF,Rangers,20,
32795608,Tochi Chukwuani,DEF,Rangers,23,
1685328,Andreas Skov Olsen,DEF,Rangers,27,
4536496,Bojan Miovski,DEF,Rangers,27,
586846,Derek Cornelius,DEF,Rangers,29,
37587573,Youssef Chermiti,DEF,Rangers,22,
378239,Kieran Wright,GK,Rangers,27,
37577459,Emmanuel Fernandez,DEF,Rangers,25,
2875852,Rabbi Matondo,DEF,Rangers,26,
198736,Nedim Bajrami,DEF,Rangers,27,
5270463,Danilo,DEF,Rangers,27,
2158212,Nicolas Raskin,DEF,Rangers,25,
24817485,Connor Barron,DEF,Rangers,24,
174066,Liam Kelly,GK,Rangers,30,
37595805,Clinton Nsiala,DEF,Rangers,22,
172581,John Souttar,DEF,Rangers,30,
1462,Jack Butland,GK,Rangers,33,
16136386,Oliver Antman,DEF,Rangers,25,
37391576,Thelo Aasgaard,DEF,Rangers,24,
37651099,Mikey Moore,DEF,Rangers,19,
37614062,Jayden Meghoma,DEF,Rangers,20,
537665,Dujon Sterling,DEF,Rangers,27,
37602126,Bailey Rice,DEF,Rangers,20,
37434598,Mohamed Diomandé,DEF,Rangers,25,
1494663,Max Aarons,DEF,Rangers,26,
4361,Connor Randall,DEF,Ross County,31,
18151,Jordan White,DEF,Ross County,34,
9654,Akil Wright,DEF,Ross County,30,
28912972,Bradley Foster,GK,Ross County,25,
37619579,Len O'Sullivan,DEF,Ross County,23,
37646939,Ben Crompton,DEF,Ross County,23,
9464,Nicky Clark,DEF,Ross County,35,
173508,Jamie Lindsay,DEF,Ross County,31,
35683626,Dean Cornelius,DEF,Ross County,25,
173738,Ross Laidlaw,GK,Ross County,34,
37610428,Levis Pitan,DEF,Ross County,21,
37260704,Josh Reid,DEF,Ross County,24,
32422779,Jay Henderson,DEF,Ross County,24,
174235,Sean Mackie,DEF,Ross County,28,
37588655,Miller Thomson,DEF,Ross County,22,
657,Trevor Carson,GK,Ross County,38,
37342601,Ryan Duncan,DEF,Ross County,22,
37642287,Dylan Smith,DEF,Ross County,20,
25591488,Noah Chilvers,DEF,Ross County,25,
378719,James Scott,DEF,Ross County,26,
6429,Alex Iacovitti,DEF,Ross County,29,
173809,Ross Docherty,DEF,Ross County,33,
23279212,Kieran Phillips,DEF,Ross County,26,
172623,Declan Gallagher,DEF,Ross County,35,
172505,Gary Mackay-Steven,DEF,Ross County,36,
148853,Conor McMenamin,DEF,St. Mirren,31,
173056,A. Campbell,DEF,St. Mirren,28,
8846,Scott Tanser,DEF,St. Mirren,32,
1233,Declan John,DEF,St. Mirren,31,
23739094,Kion Etete,DEF,St. Mirren,25,
37532070,J. Young,DEF,St. Mirren,25,
581122,Dan N'Lundulu,DEF,St. Mirren,27,
172748,Marcus Fraser,DEF,St. Mirren,32,
7160,Liam Donnelly,DEF,St. Mirren,30,
37255845,Jayden Richardson,DEF,St. Mirren,26,
37736707,Evan Mooney,DEF,St. Mirren,19,
37580336,Fraser Taylor,DEF,St. Mirren,23,
172600,Mark O'Hara,DEF,St. Mirren,31,
3169834,Ryan Mullen,GK,St. Mirren,25,
4417,Mikael Mandron,DEF,St. Mirren,32,
749968,K. Baccus,DEF,St. Mirren,28,
37623431,Jalmaro Calvin,DEF,St. Mirren,23,
182498,Peter Urminsky,GK,St. Mirren,27,
364593,Tunmise Sobowale,DEF,St. Mirren,27,
752052,Shamal George,GK,St. Mirren,28,
37673148,Miguel Freckleton,DEF,St. Mirren,23,
9781,Alex Gogic,DEF,St. Mirren,32,
37555366,M. Dijksteel,DEF,St. Mirren,25,
430377,Jonah Ayunga,DEF,St. Mirren,29,
28912754,Roland Idowu,DEF,St. Mirren,24,
37529807,Killian Phillips,DEF,St. Mirren,24,
37575363,Richard King,DEF,St. Mirren,25,
172895,Liam Smith,DEF,St. Johnstone,30,
37537884,Unknown,DEF,St. Johnstone,,
37540836,Kai Fotheringham,DEF,St. Johnstone,23,
3187707,Alfie Agyeman,DEF,St. Johnstone,26,
37720392,F. Franczak,DEF,St. Johnstone,19,
37580310,T. Steven,DEF,St. Johnstone,22,
38202027,Unknown,DEF,St. Johnstone,,
24817504,Reece McAlear,DEF,St. Johnstone,24,
52670,S. Sprangler,DEF,St. Johnstone,31,
37633251,Aaron Essel,DEF,St. Johnstone,21,
3574,J. Holt,DEF,St. Johnstone,33,
32422759,J. McPake,DEF,St. Johnstone,25,
172945,Stevie Mallan,DEF,St. Johnstone,30,
37330644,Unknown,DEF,St. Johnstone,,
37591312,Unknown,GK,St. Johnstone,,
9435,Unknown,DEF,St. Johnstone,,
37663257,Adam Forrester,DEF,St. Johnstone,21,
9266,Uche Ikpeazu,DEF,St. Johnstone,31,
378926,R. Sinclair,GK,St. Johnstone,25,
193157,J. Svedberg,DEF,St. Johnstone,27,
74054,B. Mikulić,DEF,St. Johnstone,29,
523889,V. Griffith,DEF,St. Johnstone,26,
172944,Jack Baird,DEF,St. Johnstone,30,
172692,Sam Stanton,DEF,St. Johnstone,32,
3169884,Jamie Gullan,DEF,St. Johnstone,27,
173698,Reghan Tumilty,DEF,St. Johnstone,29,
12759173,Morgan Boyes,DEF,St. Johnstone,25,
